Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
0,2008/9/30,Female,Service,No,2,3,3.8,0.16
1,2008/11/30,Male,Service,Yes,1,2,5,0.36
2,2008/3/10,Female,Product,Yes,2,,5.8,0.49
3,2008/11/3,Male,Service,Yes,1,1,2.6,0.2
4,2008/7/24,Female,Service,No,3,7,6.9,0.52
5,2008/11/26,Male,Product,Yes,2,4,3.6,0.29
6,2008/1/2,Female,Service,No,3,6,7.9,0.62
7,2008/10/31,Female,Service,Yes,2,4,4.4,0.33
8,2008/12/27,Female,Service,No,3,6,,0.56
9,2008/3/9,Female,Product,No,3,6,,0.67
10,2008/3/16,Male,Product,Yes,2,3,5.3,0.5
11,2008/5/12,Male,Service,Yes,0,1,1.8,0.12
12,2008/1/20,Male,Service,Yes,2,5,,0.4
13,2008/2/23,Female,Product,No,1,3,,0.33
14,2008/5/14,Male,Product,Yes,1,3,5.8,0.51
15,2008/2/3,Female,Service,Yes,3,5,4.7,0.32
16,2008/3/17,Male,Service,Yes,1,2,5.9,0.39
17,2008/3/28,Male,Service,No,3,6,6.7,0.59
18,2008/5/29,Female,Product,Yes,2,4,4,0.22
19,2008/6/27,Female,Service,No,3,5,,0.68
20,2008/8/31,Male,Product,No,2,4,7.6,0.57
21,2008/1/15,Male,Service,Yes,1,3,6.3,0.47
22,2008/5/4,Male,Service,Yes,1,3,6.7,0.46
23,2008/11/17,Female,Product,Yes,3,,7.7,0.61
24,2008/9/14,Female,Service,No,3,8,,0.91
25,2008/10/9,Female,Service,Yes,3,,5.8,0.4
26,2008/10/11,Male,Service,No,2,4,6.6,0.44
27,2008/9/18,Female,Service,No,2,4,7.4,0.6
28,2008/9/16,Female,Service,No,2,5,6.7,0.46
29,2008/11/26,Female,Service,Yes,2,4,,0.45
30,2008/5/12,Female,Product,Yes,1,2,3.6,0.2
31,2008/12/16,Female,Service,Yes,1,2,3.9,0.2
32,2008/10/11,Female,Service,No,0,1,3,0.19
33,2008/3/10,Male,Service,No,1,3,4.7,0.31
34,2008/5/3,Male,Product,No,4,8,8.7,0.81
35,2008/8/4,Male,Service,Yes,3,5,4.4,0.39
36,2008/7/31,Female,Service,Yes,3,6,5.8,0.42
37,2008/6/17,Female,Product,Yes,0,2,3.9,0.19
38,2008/4/28,Female,Service,Yes,3,7,6.6,0.56
39,2008/10/30,Female,Service,No,4,7,7.3,0.53
40,2008/2/27,Female,Service,Yes,3,5,,0.5
41,2008/6/22,Female,Product,Yes,1,3,5.4,0.33
42,2008/2/18,Male,Service,No,2,5,5,0.45
43,2008/6/24,Female,Service,Yes,2,3,6,0.36
44,2008/12/8,Female,Service,Yes,3,6,7.5,0.59
45,2008/8/5,Male,Service,Yes,2,3,,
46,2008/4/11,Male,Service,No,4,10,10,0.94
47,2008/3/26,Female,Product,Yes,3,6,,
48,2008/8/9,Female,Product,No,3,,7.7,0.61
49,2008/8/28,Female,Product,Yes,1,3,6,0.37
50,2008/3/21,Male,Service,No,2,6,7.4,0.65
51,2008/7/22,Female,Service,Yes,2,5,6.4,0.49
52,2008/5/20,Female,Service,No,1,2,5.1,
53,2008/1/23,Male,Service,Yes,1,3,5.6,0.38
54,2008/10/9,Male,Product,No,2,5,7.4,0.62
